company,lens_id,pub_number,title,abstract,pub_type,status,assignee,jurisdiction,filing_date,filing_year,pub_date,pub_year,cpc_codes,tech_category,inventor_count,family_id,family_size,priority_date,grant_date,expiration_date,inventors,claims_count,cited_by_count
Maxar Technologies,14984613,US9875404,AUTOMATED METRIC INFORMATION NETWORK,,grant,granted,"DIGITALGLOBE, INC.",US,2015-12-30,2015,2018-01-23,2018,G06V20/13|G06V30/422|G01C11/06,Computing / Software,5,,1,2015-12-30,2018-01-23,,Carolyn P. Johnston; Ozy Sjahputera; Laurence C. Bleiler; Brett W. Bader; James Thomas Smith II,0,0
Maxar Technologies,14976400,US9672424,GENERATION OF HIGH RESOLUTION POPULATION DENSITY DATA SETS THROUGH EXPLOITATION OF HIGH RESOLUTION OVERHEAD IMAGERY DATA AND LOW RESOLUTION POPULATION DENSITY DATA SETS,,grant,granted,"DigitalGlobe, Inc.",US,2015-12-21,2015,2017-06-06,2017,G06V20/176,Computing / Software,1,,1,2015-12-21,2017-06-06,,Lionel Gueguen,0,0
Maxar Technologies,14941504,US9858479,GLOBAL-SCALE DAMAGE DETECTION USING SATELLITE IMAGERY,,grant,granted,"DIGITALGLOBE, INC.",US,2015-11-13,2015,2018-01-02,2018,G06V20/176|G06V10/464|G06V10/762|G06V10/235|G06V10/435|G06F18/2411|G06F18/23,Computing / Software,2,,1,2015-11-13,2018-01-02,,Muhammad Hamid; Lionel Gueguen,0,0
Maxar Technologies,14837628,US9619734,CLASSIFICATION OF LAND BASED ON ANALYSIS OF REMOTELY-SENSED EARTH IMAGES,,grant,granted,"DigitalGlobe, Inc.",US,2015-08-27,2015,2017-04-11,2017,G06V20/13|G06F16/29|G06V20/194|G06F18/2411,Computing / Software,5,,1,2015-08-27,2017-04-11,,Giovanni B. Marchisio; Carsten Tusk; Krzysztof Koperski; Mark D. Tabb; Jeffrey D. Shafer,0,0
Maxar Technologies,14835736,US9589210,BROAD AREA GEOSPATIAL OBJECT DETECTION USING AUTOGENERATED DEEP LEARNING MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2015-08-26,2015,2017-03-07,2017,G06T7/74|G06T7/344|G06T7/33|G06V10/454|G06V10/82|G06V10/764|G06V20/13|G06F18/24137,Computing / Software,4,,1,2015-08-26,2017-03-07,,Adam Estrada; Andrew Jenkins; Benjamin Brock; Chris Mangold,0,0
Maxar Technologies,14826740,US9569690,AUTOMATED AND SCALABLE OBJECT AND FEATURE EXTRACTION FROM IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2015-08-14,2015,2017-02-14,2017,G06V20/13|G06T5/40|G06T2207/10016|G06T2207/10036|G06T2207/20182|G06T2207/30181|H04N1/4074,Computing / Software,5,,1,2015-08-14,2017-02-14,,Giovanni B. Marchisio; Mark D. Tabb; Carsten Tusk; Krzysztof Koperski; Jeffrey D. Shafer,0,0
Maxar Technologies,14819839,US9495618,OBJECT DETECTION WITH TEXTURAL TO SPECTRAL DOMAIN ADAPTATION,,grant,granted,"DIGITALGLOBE, INC.",US,2015-08-06,2015,2016-11-15,2016,G06V10/40|G06V10/462|G06V10/809|G06V10/751|G06V30/19173|G06F18/2411|G06F18/23213|G06T7/40,Computing / Software,1,,1,2015-08-06,2016-11-15,,MARK D. TABB,0,0
Maxar Technologies,14810382,US9922265,GLOBAL-SCALE OBJECT DETECTION USING SATELLITE IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2015-07-27,2015,2018-03-20,2018,G06V20/176|G06V10/462,Computing / Software,2,,1,2015-07-27,2018-03-20,,Muhammad Hamid; Stephen O'Hara,0,0
Maxar Technologies,14800644,US10014928,INTEGRATED ARCHITECTURE FOR NEAR-REAL-TIME SATELLITE IMAGING APPLICATIONS,,grant,granted,"DigitalGlobe, Inc.",US,2015-07-15,2015,2018-07-03,2018,H04B7/18528|H04B7/18513|H04B7/18523|H04B10/118,Satellite / Wireless Comms,1,,1,2015-07-15,2018-07-03,,Victor H Leonard,0,0
Maxar Technologies,14789877,US9858645,AUTOMATED SEAMLINE CONSTRUCTION FOR HIGH-QUALITY HIGH-RESOLUTION ORTHOMOSAICS,,grant,granted,"DigitalGlobe, Inc.",US,2015-07-01,2015,2018-01-02,2018,G06T3/4038|G06F16/5838|G06F16/532|G06F16/56,Computing / Software,1,,1,2015-07-01,2018-01-02,,Seth Malitz,0,0
Maxar Technologies,14789893,US9626565,AUTOMATED CONVERSION OF TWO-DIMENSIONAL HYDROLOGY VECTOR MODELS INTO VALID THREE-DIMENSIONAL HYDROLOGY VECTOR MODELS,,grant,granted,"DigitalGlobe, Inc.",US,2015-07-01,2015,2017-04-18,2017,G06T17/05,Computing / Software,2,,1,2015-07-01,2017-04-18,,Jacek Grodecki; Seth Malitz,0,0
Maxar Technologies,14788651,US10121106,SPECTRAL DATA ANALYTIC CUBE CLASSIFIER (SPADACC) FOR CONTINUOUS WIDE AREA GEOSPATIAL MODELING USING NORMALIZED AND HIGHLY DIMENSIONAL MULTISPECTAL RASTER DATA,,grant,granted,"DIGITALGLOBE, INC.",US,2015-06-30,2015,2018-11-06,2018,G06N7/01|G06T17/05|G06T2200/16,Computing / Software,2,,1,2015-06-30,2018-11-06,,James Stokes; Mark Giaconia,0,0
Maxar Technologies,14730176,US9727784,SOME AUTOMATED AND SEMI-AUTOMATED TOOLS FOR LINEAR FEATURE EXTRACTION IN TWO AND THREE DIMENSIONS,,grant,granted,"DigitalGlobe, Inc.",US,2015-06-03,2015,2017-08-08,2017,G06V10/44|G06V10/469|G06V20/182|G06V20/13|G06V10/945|G06F18/40|G06T17/05,Computing / Software,3,,1,2015-06-03,2017-08-08,,Jacek Grodecki; Seth Malitz; Josh Nolting,0,0
Maxar Technologies,14730227,US9600740,SYSTEM AND METHODS FOR SEMI-AUTOMATED EDITING OF ORTHO-MOSAICS BUILT FROM REMOTELY-SENSED IMAGERY,,grant,granted,"DigitalGlobe, Inc.",US,2015-06-03,2015,2017-03-21,2017,G01C21/3676|G06V20/182|G01C11/02|G01C21/3602|G01C21/3614|G06T3/4038|G06T17/05,Computing / Software,3,,1,2015-06-03,2017-03-21,,Matthew Tang; John Thiel; David Neckels,0,0
Maxar Technologies,14708129,US9589334,AUTOMATED TONAL BALANCING,,grant,granted,"DigitalGlobe, Inc.",US,2015-05-08,2015,2017-03-07,2017,G06T5/94|G06T5/92|G06T5/73|G06T5/70|G06T3/4038|G06T2200/32|G06T2207/10024|G06T2207/10032,Computing / Software,3,,1,2015-05-08,2017-03-07,,Nathan Reid Swanson; Patrick Young; Spencer Stirling,0,0
